Trigger_Date,2024/01/27
Trigger_Time,T 10:42:00.000
Samples_Per_Cycle,500
Microseconds_Per_Sample,33.333
Time (ms),Voltage (V),Current (A)
-41.67,0.073,3.908
-41.63,2.549,3.850
-41.60,5.127,3.746
-41.57,7.172,3.709
-41.53,8.517,3.653
-41.50,10.882,3.553
-41.47,13.381,3.478
-41.43,15.216,3.454
-41.40,18.239,3.438
-41.37,20.138,3.367
-41.33,22.009,3.280
-41.30,24.044,3.233
-41.27,26.351,3.187
-41.23,28.686,3.123
-41.20,30.718,3.085
-41.17,32.002,3.016
-41.13,34.758,3.028
-41.10,37.555,2.923
-41.07,39.811,2.874
-41.03,41.482,2.843
-41.00,43.492,2.769
-40.97,45.238,2.775
-40.93,46.994,2.730
-40.90,50.600,2.699
-40.87,52.199,2.653
-40.83,53.874,2.619
-40.80,55.828,2.551
-40.77,57.420,2.533
-40.73,60.630,2.531
-40.70,61.690,2.435
-40.67,64.087,2.415
-40.63,66.797,2.415
-40.60,67.991,2.359
-40.57,70.599,2.310
-40.53,72.390,2.298
-40.50,74.050,2.272
-40.47,75.738,2.256
-40.43,77.445,2.177
-40.40,79.303,2.238
-40.37,81.791,2.128
-40.33,84.033,2.158
-40.30,86.045,2.084
-40.27,87.936,2.102
-40.23,89.689,2.052
-40.20,91.240,2.050
-40.17,93.494,2.013
-40.13,94.419,1.970
-40.10,95.645,1.976
-40.07,97.714,1.954
-40.03,99.144,1.981
-40.00,101.035,1.890
-39.97,102.756,1.883
-39.93,104.707,1.900
-39.90,106.589,1.830
-39.87,107.786,1.847
-39.83,109.678,1.846
-39.80,111.330,1.817
-39.77,112.842,1.784
-39.73,114.495,1.801
-39.70,116.352,1.749
-39.67,116.925,1.764
-39.63,118.870,1.733
-39.60,121.220,1.751
-39.57,122.175,1.738
-39.53,122.842,1.718
-39.50,125.165,1.718
-39.47,126.205,1.709
-39.43,128.347,1.667
-39.40,128.085,1.676
-39.37,131.912,1.679
-39.33,131.482,1.670
-39.30,132.943,1.644
-39.27,134.289,1.633
-39.23,136.083,1.656
-39.20,136.927,1.618
-39.17,137.883,1.649
-39.13,139.737,1.605
-39.10,139.970,1.611
-39.07,141.996,1.603
-39.03,142.399,1.577
-39.00,143.521,1.593
-38.97,144.337,1.574
-38.93,145.451,1.577
-38.90,146.158,1.543
-38.87,147.554,1.525
-38.83,147.415,1.521
-38.80,149.850,1.536
-38.77,150.607,1.536
-38.73,151.167,1.523
-38.70,152.283,1.491
-38.67,153.249,1.499
-38.63,153.600,1.517
-38.60,154.394,1.510
-38.57,156.095,1.450
-38.53,155.977,1.452
-38.50,157.466,1.441
