user_id,rail_id,area_id,phase
user_1001,rail_1000,area_001,b
user_1002,rail_1000,area_001,b
user_1003,rail_1000,area_001,b
user_1004,rail_1000,area_001,a
user_1005,rail_1000,area_001,a
user_1006,rail_1000,area_001,b
user_1007,rail_1000,area_001,b
user_1008,rail_1000,area_001,a
user_1009,rail_1000,area_001,a
user_1011,rail_1010,area_001,c
user_1012,rail_1010,area_001,c
user_1013,rail_1010,area_001,c
user_1014,rail_1010,area_001,b
user_1015,rail_1010,area_001,c
user_1016,rail_1010,area_001,b
user_1017,rail_1010,area_001,b
user_1018,rail_1010,area_001,c
user_1020,rail_1019,area_001,c
user_1021,rail_1019,area_001,a
user_1022,rail_1019,area_001,c
user_1023,rail_1019,area_001,a
user_1024,rail_1019,area_001,c
user_1025,rail_1019,area_001,c
user_1026,rail_1019,area_001,a
user_1027,rail_1019,area_001,a
user_1028,rail_1019,area_001,c
user_1029,rail_1019,area_001,b
user_1031,rail_1030,area_001,a
user_1032,rail_1030,area_001,b
user_1033,rail_1030,area_001,b
user_1034,rail_1030,area_001,b
user_1035,rail_1030,area_001,a
user_1036,rail_1030,area_001,b
user_1037,rail_1030,area_001,a
user_1038,rail_1030,area_001,b
user_1039,rail_1030,area_001,c
user_1040,rail_1030,area_001,c
user_1041,rail_1030,area_001,a
user_1043,rail_1042,area_001,c
user_1044,rail_1042,area_001,c
user_1045,rail_1042,area_001,b
user_1046,rail_1042,area_001,a
user_1047,rail_1042,area_001,b
user_1048,rail_1042,area_001,b
user_1049,rail_1042,area_001,b
user_1050,rail_1042,area_001,b
user_1051,rail_1042,area_001,b
user_1052,rail_1042,area_001,b
user_1053,rail_1042,area_001,b
user_1054,rail_1042,area_001,a
user_1055,rail_1042,area_001,c
user_1056,rail_1042,area_001,b
user_1057,rail_1042,area_001,b
user_1059,rail_1058,area_002,a
user_1060,rail_1058,area_002,b
user_1061,rail_1058,area_002,c
user_1062,rail_1058,area_002,a
user_1063,rail_1058,area_002,b
user_1064,rail_1058,area_002,a
