rail_id,phase,fit_corr,n_users
rail_1000,a,-0.005663176296085815,4
rail_1000,b,-0.008637033621736892,5
rail_1000,c,,0
rail_1010,a,,0
rail_1010,b,0.19602565274372258,3
rail_1010,c,0.19728649564907405,5
rail_1019,a,0.1637201258517207,6
rail_1019,b,0.16933734678595788,1
rail_1019,c,0.16708859048819383,6
rail_1030,a,0.04117823380091648,4
rail_1030,b,0.043391818134445335,5
rail_1030,c,0.042892046486400714,2
rail_1042,a,0.074477062878816,2
rail_1042,b,0.07705727039643008,10
rail_1042,c,0.08285564020411464,3
rail_1058,a,0.07330143832088112,8
rail_1058,b,0.07519559974024549,2
rail_1058,c,0.0745207739002191,2
rail_1071,a,0.37444516662731087,5
rail_1071,b,0.37480869819142637,3
rail_1071,c,0.37779763551466716,7
rail_1088,a,0.42909962484980896,6
rail_1088,b,0.42375683454187174,4
rail_1088,c,0.43226326087452216,9
rail_1108,a,0.3187518776556035,2
rail_1108,b,0.32006582057188704,4
rail_1108,c,0.3266200662614004,6
rail_1121,a,0.23425700062775834,7
rail_1121,b,0.23638213453932952,8
rail_1121,c,0.2396465255328412,4
rail_1141,a,0.2510257574811499,6
rail_1141,b,0.24881667776518437,4
rail_1141,c,0.25536822820149097,6
rail_1158,a,0.03163550095888158,5
rail_1158,b,0.03202166736983915,4
rail_1158,c,0.024170409211801122,2
rail_1170,a,0.12145424033254937,6
rail_1170,b,0.12373664802175452,6
rail_1170,c,0.12757548895999446,3
rail_1186,a,0.26655542086054257,2
rail_1186,b,0.26992767008511775,4
rail_1186,c,0.2740157902550776,7
rail_1200,a,0.171836611886834,1
rail_1200,b,0.1745023224170001,2
rail_1200,c,0.17895075071024263,3
